Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.chara.co.in/,$6.00,13/10/2025,Bengaluru,Manufacturing,Series A,https://entrackr.com/snippets/chara-technologies-raises-6-mn-in-series-a-led-by-arkam-ventures-10556040
http://www.ai-fire.in/,$0.48,16/10/2025,Mumbai,Business Intelligence,Seed,https://entrackr.com/snippets/fireai-raises-rs-4-cr-in-seed-round-led-by-ipv-10567350
https://www.airbound.com/,$8.60,14/10/2025,Bengaluru,Drone Manufacturer,Seed,https://inc42.com/buzz/airbound-raises-8-6-mn-to-scale-logistics-drone-manufacturing/
https://reia.diamonds/,$0.23,14/10/2025,Bengaluru,Lab-grown diamond jewellery,Pre-Seed,https://entrackr.com/snippets/lab-grown-diamond-jewellery-brand-reia-diamonds-raises-pre-seed-round-10559834
https://currently.club/,$1.00,14/10/2025,Ahmedabad,Social Networking,,https://entrackr.com/snippets/social-network-app-currently-raises-1-mn-led-by-aarvi-family-office-10560015
https://www.dezerv.in/,$40.00,13/10/2025,Mumbai,Fintech - Wealth Management,Series C,https://entrackr.com/news/wealthtech-firm-dezerv-raises-40-mn-led-by-premji-invest-and-accel-10555803
https://www.houseeazy.com/,$18.00,14/10/2025,Delhi-NCR,Home resale marketplace,Series B,https://entrackr.com/news/houseeazy-raises-rs-150-cr-in-series-b-round-led-by-accel-10560758
https://dashamlabs.com/,$1.37,16/10/2025,Gurugram,Manufacturing - Materials Science,Seed,https://entrackr.com/snippets/dashamlabs-raises-rs-12-cr-in-seed-round-led-by-speciale-invest-10568073
coindcx,,15/10/2025,Mumbai,Fintech - Crypto Exchange,Unknown,https://entrackr.com/news/coinbase-backs-coindcx-at-245-bn-valuation-10563224,
https://www.orangesugar.in/,$0.46,14/10/2025,Bengaluru,Kidswear Brand,Pre-Seed,https://entrackr.com/snippets/kidswear-brand-orange-sugar-raises-pre-seed-round-10560853
https://www.thefragaria.com/,$2.00,15/10/2025,Chennai,Agritech,Seed,https://inc42.com/buzz/agritech-startup-fragaria-raises-2-mn-to-sell-fresh-fruits/
https://twobrothersindiashop.com/,$12.50,14/10/2025,Pune,D2C Brand,Series B,https://entrackr.com/news/two-brothers-organic-farms-raises-rs-110-cr-in-series-b-round-10559580
https://www.speakx.ai/,$16.00,14/10/2025,Delhi-NCR,Edtech,,https://entrackr.com/news/edtech-startup-speakx-raises-16-mn-led-by-westbridge-10559891
https://goodscore.app/,$13.00,13/10/2025,Bengaluru,Fintech,Series A,https://entrackr.com/news/goodscore-raises-13-mn-in-series-a-round-led-by-peak-xv-10556674
https://airoclip.com/,$2.75,14/10/2025,Bengaluru,Gaming,Seed,https://entrackr.com/snippets/airoclip-raises-275-mn-in-seed-round-led-by-t-accelerate-capital-10560589
https://kukufm.com/,$85.00,16/10/2025,Mumbai,Audio content platform,Series D,https://entrackr.com/news/kuku-fm-raises-85-mn-from-granite-asia-and-others-10567713
http://zeptonow.com/,$450.00,16/10/2025,Mumbai,Quick Commerce,,https://techcrunch.com/2025/10/16/zepto-raises-450-million-at-7-billion-valuation-as-indian-quick-commerce-market-heats-up/
https://hooliv.com/,$2.73,17/10/2025,Delhi,Coliving,Pre-series A,https://entrackr.com/snippets/hooliv-raises-rs-24-cr-in-pre-series-a-round-led-by-negen-capital-10571190
