Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
CoinSwitch Kuber,$25.00,22/04/2021,Mumbai,Fintech,Series A,https://inc42.com/buzz/coinswitch-kuber-raises-25-mn-from-tiger-global-at-500-mn-valuation/,
Mn,$555.00,24/04/2021,Chennai,Fintech,Series D,https://inc42.com/infocus/funding-galore/funding-galore-from-razorpay-to-chargebee-555-mn-raised-by-indian-startups-april-19-24/,Singapore’s sovereign wealth fund GIC;Sequoia Capital India
Grad,$120.00,26/04/2021,Bengaluru,Edtech,Debt,https://inc42.com/buzz/upgrad-raises-120-mn-from-temasek-in-first-external-funding-round/,
LEAD School,$30.00,26/04/2021,Mumbai,Edtech,Series A,https://inc42.com/buzz/b2b-edtech-startup-lead-school-bags-30-mn-targets-expanding/,GSV Ventures;WestBridge to help LEAD accelerate its growth;WestBridge;West Bridge;Elevar Equity
CareStack,$22.50,27/04/2021,Thiruvananthapuram,General,Series A,https://entrackr.com/2021/04/dental-software-startup-carestack-raises-22-5-mn-in-series-c-round/,Abhilash Krishna provides dental practice management software for private practices
Stanza Living,$100.00,25/04/2021,New Delhi,General,Series D,https://entrackr.com/2021/04/exclusive-stanza-living-raises-over-100-mn-led-by-falcon-edge/,Falcon Edge;Alpha Wave Incubation;Falcon Edge in July 2019
Razorpay,$561.00,24/04/2021,Gurugram,Healthtech,Series B,https://entrackr.com/2021/04/funding-in-indian-startups-this-week-19-apr-24-apr/,Singapore’s sovereign wealth fund GIC;Sequoia India;Sapphire Ventures;Tiger Global;Insight Venture Partners;Tiger Global Management;Canada’s CDPQ;Neuberger Berman
Unbox Robotics,$1.20,23/04/2021,Gurugram,E-commerce,Pre-Series A,https://yourstory.com/2021/04/funding-alert-unbox-robotics-pre-seriesa-round,BEENEXT
FypMoney,$2.00,27/04/2021,Gurugram,Fintech,Seed,https://yourstory.com/2021/04/funding-fintech-startup-fypmoney-seed-round,Liberatha Kallat
Bee,$0.30,22/04/2021,Mumbai,General,Seed,https://yourstory.com/2021/04/funding-alert-govt-exam-preparation-startup-ixambee,Jain International Trade Organisation (;JITO Angel Network Investors;Keyur Joshi
DealShare,$8.38,22/04/2021,Bengaluru,E-commerce,Series C,https://yourstory.com/2021/04/funding-alert-dealshare-venture-debt-alteria-capital,Westbridge Capital;Alpha Wave Incubation - a venture fund managed by Falcon Edge Capital;Z3Partners;Matrix Partners India;Omidyar Network India
ORAI,$0.43,22/04/2021,India,Deeptech & AI,Pre-Series A,https://yourstory.com/2021/04/funding-conversational-ai-platform-orai-inflection-point-ventures,Inflection Point Ventures
Tessolve,$40.00,22/04/2021,India,General,,https://yourstory.com/2021/04/hero-electronixs-portfolio-company-tessolve-raises-funds-novo-tellus,
Bizongo,$52.00,26/04/2021,Mumbai,Enterprise Tech,Series C,https://inc42.com/buzz/b2b-packaging-marketplace-bizongo-closes-52-mn-series-c-round-with-funding-from-cdc-group/,CDC Group;Accel;Strides;Trifecta Capital;TradeCred;IDFC First Bank
Good Host Spaces,,23/04/2021,India,Real Estate Tech,Acquisition,https://inc42.com/buzz/warburg-pincus-acquires-24-48-stake-in-good-host-spaces/,Warburg Pincus;Baskin Lake Investments;Goldman Sachs
Practo,$7.19,27/04/2021,Bengaluru,Health Tech,Debt,https://inc42.com/buzz/amid-healthtech-focus-practo-to-raise-inr-60-cr-debt-from-trifecta/,Trifecta Venture Debt Fund II
CareStack,$22.50,28/04/2021,Thiruvananthapuram,Enterprise Tech,,https://inc42.com/buzz/dental-saas-startup-carestack-raises-over-22-mn-from-steadview/,Steadview Capital;Delta Dental of California;Accel Partners;Eight Roads;F-Prime Capital
CRED,$215.00,23/04/2021,Bengaluru,Fintech,Series D,https://entrackr.com/2021/04/decoding-creds-series-d-funding-round/,Falcon Edge Capital (Alpha Wave);Coatue Management;DST Global;Sofina Ventures;RTP Global;Tiger Global;GreenOaks Capital
Urban Company,$188.00,26/04/2021,Gurugram,Home Services,Series F,https://entrackr.com/2021/04/exclusive-urban-company-raises-new-round-led-by-prosus-at-2-bn-valuation/,Prosus;DF International;Wellington Management
Urban Company,$188.00,27/04/2021,India,Home Services,,https://yourstory.com/2021/04/funding-alert-urban-company-enters-unicorn-club,Prosus;DF International;Wellington Management
Micro Plastics,,27/04/2021,Bengaluru,Manufacturing,Acquisition,https://yourstory.com/2021/04/premji-invest-adv-partners-majority-stakes-toymaker-micro-plastics,Premji Invest;ADV Partners
Smart Joules,$4.90,22/04/2021,India,Energy,,https://yourstory.com/2021/04/smart-joules-raises-raintree-family-office-adm-arm,Raintree Family Office;ADB Ventures;Sangam Ventures;Max I Limited;cKinetics Accelerator;Saket Burman
